epoch,train_loss,train_acc,test_loss,test_acc
1,0.5618787667902548,0.7028955435832934,0.4964500281016032,0.7643333271344502
2,0.5121756602845975,0.7529104697045995,0.4890907174746196,0.7671666595141093
3,0.5019900752964305,0.760000021632038,0.48322046677271524,0.7733333258628845
4,0.49596808033469897,0.7642537529468536,0.48378454717000324,0.7696666669845581
5,0.49273809885533887,0.7659850974972569,0.48044015518824257,0.7731666660308838
6,0.48835856305663267,0.7700522607333624,0.47804088672002154,0.7779999993642172
7,0.4858720823419628,0.7718283804210264,0.47405880769093833,0.7783333333333333
8,0.4833488935338917,0.7733955443652708,0.4787711194356283,0.7746666591962178
9,0.4808699365516207,0.7745298733853582,0.4735313026110331,0.7778333255449931
10,0.4790982060387953,0.775619425483604,0.4717442531585693,0.7771666673024495
11,0.4761898554848201,0.7775373360310028,0.46593500089645384,0.7859999976158142
12,0.4757673775936241,0.7771045004467466,0.4639774333635966,0.7864999979337056
13,0.47339456487947434,0.7794850970026272,0.4711061673164368,0.7818333328564961
14,0.47194505743749104,0.7798209192130103,0.4625576198895772,0.7869999976158142
15,0.47109187813303366,0.7807537541620767,0.4676853928565979,0.7854999987284342
16,0.4685871960591914,0.7827910680503988,0.4613424190680186,0.7839999977747599
17,0.46695203157681137,0.782328381428078,0.4613633588949839,0.7829999985694885
18,0.4651142638859464,0.783738829356521,0.46276095644632975,0.7856666657129924
19,0.46468500106192345,0.7835597246120225,0.4582573901017507,0.7861666652361552
20,0.46297103834330144,0.7850447992904862,0.46097665023803713,0.7839999995231628
21,0.4606837204970531,0.7856045014146549,0.4628559734026591,0.7833333326975505
22,0.4599029531398816,0.7855895756803342,0.4568440888722738,0.7888333317438762
23,0.4580760045843338,0.787208979208078,0.4574710520108541,0.7861666650772094
24,0.4570173570753923,0.7876418155324992,0.45638108491897583,0.7883333315849305
25,0.45528244880686947,0.7890522632901348,0.46021928278605145,0.7841666650772094
26,0.45406937878612263,0.7895895762603674,0.45663381814956666,0.7884999982515971
27,0.45270581988879105,0.7907089795781606,0.45303850722312927,0.7909999976158142
28,0.45183415856468145,0.790619426318069,0.4519151775836945,0.7921666644414266
29,0.4495107707986191,0.7918209205456634,0.4593706515630086,0.7904999972979228
30,0.4496637983366625,0.7915224122840967,0.4539515963395437,0.790666664759318
31,0.4476075733517533,0.7929477851248499,0.4513159735202789,0.7909999969800313
32,0.44714091358255986,0.7937015158756455,0.4538940496444702,0.7918333311080933
33,0.44609780046388287,0.7941119645460328,0.4538092484474182,0.7904999976158142
34,0.4451506198973798,0.7943955469078092,0.4489898794492086,0.7939999968210856
35,0.4436360529590009,0.7957985316692893,0.4505014183521271,0.7921666641235352
36,0.44244145402890533,0.7958358444295712,0.4532791578769684,0.7908333315849304
37,0.4417644339515202,0.7961268904547193,0.45333550826708474,0.7931666647593181
38,0.44091815794581796,0.7972015175018737,0.4482310089270274,0.7929999976158142
39,0.4399003503847478,0.7974701735101529,0.4505059976577759,0.7943333315849305
40,0.4392975680632378,0.7977313671556872,0.4517813394069672,0.7928333307902018
41,0.43808045995146483,0.7983059951262688,0.44918043621381126,0.7929999968210856
42,0.43716498795818926,0.7985298749493129,0.44858866850535073,0.7929999968210856
43,0.43651457102619,0.798104502161937,0.4490127011934916,0.7946666631698608
44,0.43625120343112234,0.7995224129424167,0.4496148037115733,0.7924999965031941
45,0.435247802833123,0.7988134568093428,0.4519698549111684,0.791499997138977
46,0.43408668205008577,0.8003059948629407,0.45428518001238505,0.7924999977747599
47,0.4335013858720438,0.8002686816916537,0.4497777709166209,0.7916666634877523
48,0.43320266577645916,0.8003806218246915,0.44654650608698526,0.7941666631698608
49,0.43138047534049445,0.8013209213142964,0.44845583295822145,0.7939999972979228
50,0.4322186057051616,0.800813457593989,0.4496191629568736,0.7944999966621399
51,0.43059606582371157,0.801246293674654,0.44723728823661807,0.7928333301544189
52,0.4301071686317672,0.8020000247510511,0.4471227893829346,0.7944999965031941
53,0.43023929960069374,0.8025000259271309,0.44950042716662086,0.7953333298365275
54,0.42937046443615384,0.8019030100943437,0.45163663117090863,0.7918333298365275
55,0.4287804583827061,0.8027612194232087,0.44790574129422506,0.7941666634877523
56,0.4274493851812918,0.8028433090056946,0.44798302404085794,0.7944999963442485
57,0.4277184816011742,0.8032462929914247,0.4495874066352844,0.7964999963442485
58,0.4261708688584726,0.8050074869002869,0.44822173976898194,0.7968333287239074
