loss,batch_size,dropout,lr,num_heads,num_layers,output_dim,weight_decay
0.6935685828208923,40,0.06953911556880271,0.016068596989380162,1,1,52,0.5121914190806323
0.686279861164093,152,0.0031639898066259664,0.0030027257822687376,1,2,252,2.9521780423799458e-05
0.4660390519142151,16,0.3046618651036412,6.904713311846149e-05,1,1,196,0.06407260923094273
0.4613034749031067,160,0.05773168425717201,0.0001473535326019353,4,2,68,0.0040191095094843105
0.6933630475997925,8,0.1347764932404225,0.0027931484511634756,1,2,108,0.667456445021137
0.4541395133972168,40,0.20023386974931362,0.000290226714529543,4,1,156,0.000964363733807261
0.4608194199562073,44,0.1019887273138404,0.00011541803978427743,4,2,172,0.004497479971613283
0.47151101999282835,12,0.39607625424826237,0.0002962291869534411,1,1,172,0.18938008201942255
0.5009780661582947,24,0.48789716588240417,3.295667536985964e-05,1,1,256,0.0001683428168583994
0.6934757271766663,12,0.41932850578936265,0.005530316119105836,1,2,92,0.046996117403620724
0.45937189292907715,12,0.35552096170782327,0.0007893084123541776,1,2,60,0.00160180777970747
0.6949793944358825,16,0.46736094016166385,0.003612616458022164,4,2,28,0.04720433418168106
0.47287503304481504,188,0.32350338040227616,0.012192814272590988,4,1,36,1.148712413849525e-05
0.5009516401290893,56,0.3871830211489778,6.746850577283552e-05,4,1,72,0.08127298657251923
0.45863791174888613,8,0.30871743639624555,0.0006338329118125458,1,2,92,0.015008380820055286
0.5726569332122803,16,0.3207957539523965,0.005271638312982029,4,1,240,0.02139393150306586
0.48373466057777403,20,0.4799208038528327,0.001303230208777314,4,1,208,4.195626408230453e-05
0.6893525913238525,216,0.21804224421734775,0.025715864285109358,1,2,96,0.26201188040914936
0.7324309727668762,132,0.16461277448559009,0.05013499076030729,1,1,148,1.926058213314541e-05
0.7244868226051331,16,0.03020703831479088,0.07085182581966838,4,2,176,2.101492909448305e-05
0.5562037042617798,84,0.2503143167910883,1.4510152660621906e-05,4,1,128,0.0006362257523707653
0.4551004503726959,28,0.24581043850184806,0.000541135886157804,4,2,44,0.012510482106891947
0.4644307668685913,28,0.21542782754191864,0.0004004781050486239,4,1,40,0.00032125421209089377
0.4634170280456543,64,0.2591312712549753,0.001597567911118218,4,2,20,0.0014534029806049255
0.6612294812202454,36,0.18151537113700772,1.3513229441410279e-05,4,2,16,0.009560342455154603
