loss,batch_size,dropout,lr,num_layers,output_dim,weight_decay
0.4601776616096497,168,0.3336734333699145,0.0015869912172623614,1,148,0.03916663716484083
0.46020328698158264,20,0.39174449639627784,0.0007921098100235056,1,40,0.00920309197530173
0.4619078016281128,28,0.31833701056711455,0.00012171901858111102,3,168,0.3641632092892955
0.5042562418937683,24,0.12087137950068677,0.019386750025734534,3,56,0.12710947987816987
0.4950377028465271,164,0.3727785863628387,0.00034063706761906846,2,24,8.852040922019085e-05
0.46959324502944944,48,0.3583791146500352,0.00013855915009425873,3,108,0.007249864981431638
0.4482023147583008,132,0.449853682405601,0.00048433947922833076,3,140,2.9229430030464116e-05
0.47709137592315676,20,0.43799645632745765,8.40478154937947e-05,2,80,0.08877094543890884
0.4799639666557312,36,0.4541648852219546,0.008370165812536417,2,32,2.3397616489995758e-05
0.5190567761421203,148,0.02705385465810589,0.00305065298097183,3,64,0.03634377085991174
0.6397901275634765,28,0.4629856244963576,2.4028349954000983e-05,1,32,0.4212850751594896
0.46304614214897155,172,0.04159416054624587,0.016160522992982276,2,32,8.063111848688334e-05
0.46946600799560545,36,0.39230374574811155,0.004626344464182286,2,16,0.0001681805902877573
0.4615162581443787,128,0.3473513726680077,0.010111987953642263,1,36,0.06573567119250584
0.6944838260650634,20,0.010541371003572775,0.08837050814252226,4,28,0.04994222590903482
0.6734518678665161,56,0.4398935628935207,1.2381979072219632e-05,3,20,2.1655391592078298e-05
0.4873461065292358,20,0.29010402562464555,0.009031541842104938,2,56,0.00018740871455750498
0.4595505952358246,24,0.25188325502404896,0.0023805894808050475,2,128,0.0003327495156547856
0.4837889018535614,120,0.34027487278026486,0.000562577587468613,1,20,0.0003187671987622757
0.4789682473182678,200,0.4469842432202163,0.002556974365992451,2,28,1.3623577392116694e-05
0.5619117771148682,92,0.19100170695988777,0.05144210061879078,4,240,0.001049708534753976
0.4694311502456665,84,0.21482317066672976,0.00030625786898774883,4,232,0.0009759303228014431
0.4670823419570923,80,0.11879566450565388,4.5048426719363674e-05,3,120,0.0012767213259994826
0.5020770022392272,244,0.24877058007801173,0.0012582567335187222,4,188,5.509787450529872e-05
0.45700792441368104,256,0.14705685912791305,0.00024650319115727514,3,96,0.0004413920089103535
