loss,batch_size,dropout,lr,num_heads,num_layers,output_dim,weight_decay
0.7886008584022522,40,0.4304758000758301,0.00015513200128644596,1,3,124,0.027760676274144323
0.6041795645713807,68,0.38517411611083785,0.013883568851731467,4,1,180,1.1195805482157368e-05
0.6977974115371705,44,0.11184009908161646,0.05076029720609324,1,4,56,0.0729721171217455
0.5170853610992432,16,0.1451553174747307,0.00017188681374017347,2,4,184,0.006058588163011775
0.5356563561439515,164,0.24768337263816376,0.00277564353261285,1,3,20,0.0017386318289672857
0.6194576092720032,16,0.255867023826496,0.00014817154439323573,2,1,20,0.3539550375025331
0.5021066109657287,64,0.2694945250463066,0.001424052427602008,2,1,36,0.09400202344198054
0.9296415430068969,20,0.3359689470014871,0.0002101199400981629,2,3,160,0.0015906192146084755
0.6618055583000183,148,0.1154916553009831,1.742625207406948e-05,4,1,20,0.00013193548306071227
0.5473167600631714,220,0.31449398687392505,0.0006974707107825637,2,4,16,0.08196537991979765
0.6932359004020691,72,0.04304817844190606,0.005114125380996202,2,3,116,0.003123323056395575
0.729509290599823,16,0.4668960760101201,3.2011011065809675e-05,2,3,84,0.04039258387782499
0.6931446945190429,24,0.24726565322848731,0.005236652552360478,1,3,28,0.997908992725081
0.5495400705337524,48,0.18416890223382504,0.0003582405785278211,2,1,32,1.0886957882966013e-05
0.6932578763961792,40,0.17109868018210256,0.0009913198063606057,2,4,160,0.00019298416983044218
0.6819402338027954,40,0.37687171856995555,4.751866096774818e-05,2,4,84,0.01993100800169006
0.6640688509941101,192,0.35853501556914136,1.3184659372299112e-05,4,3,36,0.021134623283558477
0.6264658274650574,72,0.4174728149312538,0.00012893663355421084,4,1,28,2.1479992052470668e-05
0.7017458256721496,52,0.43179463141429586,0.041094153524690334,4,3,36,0.15752114885213592
0.689475796699524,52,0.45686500454313594,0.0363942111236379,1,1,56,0.10862130032840513
0.6908423713684082,104,0.006191488480208451,0.001394736522064274,2,2,224,0.006188857484000244
0.6198774031639099,28,0.19543080922950418,5.877480733285694e-05,2,2,44,0.8908073461146622
0.5362594770431519,100,0.08338284617932598,0.0004473711751829695,2,2,248,0.0005348234890977197
0.6489091172218323,92,0.30322579704773406,0.0018962170357662376,1,2,68,0.007265788906236991
0.693157413482666,32,0.14238575885316845,0.013196607745713821,4,2,48,0.28201290396701545
