loss,batch_size,dropout,lr,num_layers,output_dim,weight_decay
0.5013063753128052,88,0.41733536062127286,2.5468378693834416e-05,1,56,3.106076716735359e-05
0.47808447523117065,80,0.2647145787730605,0.004092517510911768,2,32,8.519245365163639e-05
0.4606591121673584,24,0.21527784660782812,0.000630287863886191,4,24,0.06504306967205604
0.5521316051483154,16,0.33445701809740414,0.04193589582901002,2,44,0.00039631252947064713
0.4594901334285736,12,0.14252965110459737,0.0011785709558281147,3,20,0.0012524872372324284
0.46403270406723024,16,0.394102861792318,6.91085193529641e-05,4,180,0.03732995626833998
0.505422285079956,24,0.016514931634454055,0.014245645785428269,3,120,0.08731417899482292
0.5762207560539245,40,0.054557432065831635,0.001126793470031267,1,160,0.02056402206703678
0.46087854471206663,92,0.07112720874045292,0.0002444997578018907,1,132,0.01884195320188362
0.4601687758922577,8,0.2626629596782397,0.0023144525564689363,1,28,0.03132527177005082
0.46540644812583926,44,0.1159310781666803,6.71093538726628e-05,2,80,0.0011435353088319956
0.46235411496162415,108,0.18092414916940897,0.012451818790600195,1,24,0.0007298658798575253
0.4572902190208435,52,0.006819780873887349,0.0033273562587455073,4,28,0.06782984071792819
0.5058833402633667,76,0.2218336935654821,0.02380558273173318,3,32,0.0004497611462105914
0.6087477125167847,16,0.126472905499164,0.09837369668343639,2,56,8.993774304115576e-05
0.6953194286346436,12,0.4377774277385735,0.06941598836696974,4,16,0.3423741075592827
0.47289084153175354,80,0.29441948723785644,3.295651645468208e-05,2,156,0.00028512596969210147
0.8836310219764709,60,0.16186224158132645,0.07182216635488892,3,200,0.0005284688156238584
0.45307096724510193,28,0.47553291709812084,0.0008609961727549206,1,76,0.01815114194779644
0.47562532601356505,24,0.11933283738428124,0.0009016825052267629,1,112,0.026546195219386136
0.4819996862411499,36,0.46794855456118123,0.0002485628296682709,4,80,0.9952342159165825
0.4606435622692108,52,0.3520329135430803,0.00027801729496585104,3,40,0.006457766565498331
0.48379848580360413,28,0.4972045359063576,0.004681122358505014,4,252,0.23925964153622598
0.46723643102645873,56,0.0013842334932859662,0.006428685369630841,3,84,0.0052291298317584545
0.4932937477111816,32,0.4983142997067289,0.0021358680534666295,2,44,0.7515056605434806
